,ANIO,MES,DIA,TMAX
2450,1962,12,20,32.5
2451,1962,12,21,32.7
2452,1962,12,22,32.5
2453,1962,12,23,39.0
2454,1962,12,24,32.4
2455,1962,12,25,36.0
2456,1962,12,26,30.2
2457,1962,12,27,31.5
2458,1962,12,28,37.6
2459,1962,12,29,39.6
2460,1962,12,30,25.2
2461,1962,12,31,32.8
2796,1963,12,1,19.5
2797,1963,12,2,22.1
2798,1963,12,3,23.4
2799,1963,12,4,27.2
2800,1963,12,5,31.9
2801,1963,12,6,32.8
2802,1963,12,7,37.5
2803,1963,12,8,23.5
2804,1963,12,9,23.0
2805,1963,12,10,25.8
2806,1963,12,11,27.3
2807,1963,12,12,28.0
2808,1963,12,13,27.9
2809,1963,12,14,26.4
2810,1963,12,15,29.0
2811,1963,12,16,27.8
2812,1963,12,17,24.0
2813,1963,12,18,22.0
2814,1963,12,19,24.5
2815,1963,12,20,25.4
2816,1963,12,21,27.8
2817,1963,12,22,31.0
2818,1963,12,23,32.3
2819,1963,12,24,32.6
2820,1963,12,25,31.9
2821,1963,12,26,27.6
2822,1963,12,27,30.8
2823,1963,12,28,33.1
2824,1963,12,29,31.8
2825,1963,12,30,33.7
2826,1963,12,31,27.5
3162,1964,12,1,28.7
3163,1964,12,2,24.9
3164,1964,12,3,28.2
3165,1964,12,4,29.5
3166,1964,12,5,32.4
3167,1964,12,6,34.6
3168,1964,12,7,37.0
3169,1964,12,8,31.4
3170,1964,12,9,32.6
3171,1964,12,10,27.4
3172,1964,12,11,24.4
3173,1964,12,12,23.9
3174,1964,12,13,29.0
3175,1964,12,14,32.0
3176,1964,12,15,32.3
3177,1964,12,16,32.5
3178,1964,12,17,27.4
3179,1964,12,18,26.8
3180,1964,12,19,32.1
3181,1964,12,20,25.7
3182,1964,12,21,26.1
3183,1964,12,22,26.7
3184,1964,12,23,29.5
3185,1964,12,24,27.3
3186,1964,12,25,26.7
3187,1964,12,26,26.8
3188,1964,12,27,30.5
3189,1964,12,28,25.3
3190,1964,12,29,27.5
3191,1964,12,30,29.4
3192,1964,12,31,25.4
3527,1965,12,1,28.3
3528,1965,12,2,33.2
3529,1965,12,3,38.7
3530,1965,12,4,30.2
3531,1965,12,5,28.7
3532,1965,12,6,35.0
3533,1965,12,7,30.1
3534,1965,12,8,19.4
3535,1965,12,9,31.0
3536,1965,12,10,28.1
3537,1965,12,11,28.8
3538,1965,12,12,24.3
3539,1965,12,13,25.4
3540,1965,12,14,22.0
3541,1965,12,15,26.2
3542,1965,12,16,34.0
3543,1965,12,17,34.3
3544,1965,12,18,28.0
3545,1965,12,19,26.4
3546,1965,12,20,22.8
3547,1965,12,21,23.7
3548,1965,12,22,25.8
3549,1965,12,23,29.9
3550,1965,12,24,27.5
